曲管理番号	バージョン	曲名	Diff	Lv
362	RESIDENT	Get On Your Feet	A	11
363	Rootage	GIGA THRASH	A	11
364	HEROIC VERSE	GIGA VIOLATE	A	11
365	BISTROVER	Globe Glitter	A	11
366	EPOLIS	GloriosA	A	11
367	GOLD	GOLD RUSH	A	11
368	SINOBUZ	HAPPY★RUSH	A	11
369	CastHour	Hat Surprise	A	11
370	EPOLIS	Hat Surprise (Season 3)	A	11
371	PENDUAL	Hello Happiness	A	11
372	SINOBUZ	Honey Trap	A	11
373	SPADA	HYENA	A	11
374	CANNON BALLERS	HYPE THE CORE	A	11
375	EMPRESS	HYPERION	A	11
376	CANNON BALLERS	I Love You	A	11
377	SPADA	I will be back -オレは帰ってきた-	A	11
378	Lincle	I'm so Happy	A	11
379	EPOLIS	i-ii	A	11
380	tricoro	Illegal Function Call	A	11
381	HAPPY SKY	INAZUMA	A	11
382	EPOLIS	INHERITANCE	A	11
383	copula	Inner Spirit	A	11
384	GOLD	INORI	A	11
385	BISTROVER	Jungle Eater	A	11
386	GOLD	KAMAITACHI	A	11
387	IIDX RED	KEY	A	11
388	SPADA	KHAMEN BREAK	A	11
389	EMPRESS	Kung-fu Empire	A	11
390	Lincle	KYAMISAMA ONEGAI!	L	11
391	8th style	LAB	L	11
392	Rootage	LADYBIRD	A	11
393	Sparkle Shower	Last Card	A	11
394	BISTROVER	LAST DAY	A	11
395	CastHour	Lawes's Parotia	A	11
396	Resort Anthem	Let The Track Flow	A	11
397	tricoro	Light and Cyber…	A	11
398	SPADA	Lighting Shower	A	11
399	HEROIC VERSE	Like+it!	A	11
400	PENDUAL	Line 4 Ruin	A	11
401	HAPPY SKY	Little Little Princess	A	11
402	HEROIC VERSE	Lost Souls	A	11
403	SINOBUZ	Lost wing at.0	A	11
404	10th style	Love Is Eternity	A	11
405	BISTROVER	Lovely Howdy Cowboy!!	A	11
406	SINOBUZ	Macuilxochitl	A	11
407	SPADA	MAGIC & LOVE	A	11
408	CANNON BALLERS	MAXIVCORD	A	11
409	Sparkle Shower	Nemophila	A	11
410	DistorteD	MINT	A	11
411	Sparkle Shower	MOCHIMOCHI DREAMIN!!	A	11
412	HEROIC VERSE	Moving on	A	11
413	EPOLIS	Mukade	A	11
414	8th style	murmur twins	A	11
415	CANNON BALLERS	n'pa pa BBQ	A	11
416	Rootage	Necroxis Girl	A	11
417	BISTROVER	Neo Heritage	A	11
418	Resort Anthem	Never Fade Away	A	11
419	tricoro	New Decade IIDX Edition	A	11
420	SIRIUS	NEW SENSATION -もう、あなたしか見えない-	A	11
421	Rootage	Night! Night! Night!	A	11
422	CANNON BALLERS	No Limit 2 dAnce feat. 大山愛未	A	11
423	10th style	No.13	A	11
424	CANNON BALLERS	Nothing but Theory	A	11
425	EPOLIS	out of disk space	A	11
426	HEROIC VERSE	Override	A	11
427	BISTROVER	Overslept	A	11
428	SINOBUZ	PAPAYAPA BASS	A	11
429	HEROIC VERSE	PHASE SHIFT MANEUVER	A	11
430	EPOLIS	PILGRIM	A	11
431	Sparkle Shower	pique	A	11
432	Rootage	Playing With Fire	A	11
433	Pinky Crush	Plea Per Phase	A	11
434	BISTROVER	POLꞰAMAИIA	A	11
435	HAPPY SKY	POODLE	L	11
436	RESIDENT	Programmed Genom	A	11
437	Lincle	prompt	A	11
438	EPOLIS	Psychedelic Intelligence	A	11
439	Lincle	QUANTUM TELEPORTATION	A	11
440	Lincle	Quick Silver	A	11
441	10th style	rainbow rainbow	A	11
442	SIRIUS	Raison d'être～交差する宿命～	A	11
443	Pinky Crush	RAVE SYNDROME	A	11
444	IIDX RED	RED ZONE	A	11
445	SPADA	refractive index	A	11
446	CANNON BALLERS	REVOLVER	A	11
447	BISTROVER	Ritual of Anubis	A	11
448	Resort Anthem	Rock Da House	A	11
449	copula	Rock It	A	11
450	BISTROVER	Rosa azuL	A	11
451	SINOBUZ	ROTTERDAM SHOGUN	A	11
452	BISTROVER	Rubrum Piano	A	11
453	substream	RUGGED ASH	L	11
454	RESIDENT	Ruler or Loser	A	11
455	tricoro	rumrum triplets	A	11
456	DJ TROOPERS	satellite020712 from "CODED ARMS"	A	11
457	tricoro	Saturn	A	11
458	HAPPY SKY	Scripted Connection⇒ H mix	A	11
459	EMPRESS	Secrets	A	11
460	EPOLIS	See You Again	A	11
461	SINOBUZ	Selfish Sweet	L	11
462	SINOBUZ	SEQUENCE CAT	A	11
463	copula	SHELTER OF THE MIND	A	11
464	HEROIC VERSE	Shiva	A	11
465	Pinky Crush	Show Me All Your Love	A	11
466	Lincle	Snow Goose	A	11
467	CastHour	SOLID WYVERN	A	11
468	HEROIC VERSE	Sparkle Smilin'	A	11
469	IIDX RED	spiral galaxy	A	11
470	SPADA	Squeeze	A	11
471	DJ TROOPERS	State Of The Art	A	11
472	Resort Anthem	STELLAR WIND	A	11
473	7th style	stoic	A	11
474	HEROIC VERSE	STOIC HYPOTHESIS	A	11
475	RESIDENT	STRAIGHT TO THE STARS	A	11
476	RESIDENT	Stylus	A	11
477	EPOLIS	Submerge Serenade	A	11
478	DistorteD	Sun Field	A	11
479	RESIDENT	Swing My Wonderland	A	11
480	tricoro	Synergy For Angels	A	11
481	CastHour	Tail Lights	A	11
482	tricoro	Take My Life	A	11
483	Pinky Crush	TECHNO RUMBLE	A	11
484	BISTROVER	Tell me what you wish feat.らっぷびと	A	11
485	CANNON BALLERS	THE CANNONBALLER	A	11
486	GOLD	the shadow	A	11
487	EMPRESS	THE SHINING POLARIS(kors k mix)	A	11
488	RESIDENT	THE TIME MACHINE	A	11
489	EPOLIS	Time Distortion pt.2(IIDX Edit)	A	11
490	tricoro	Time To Empress	L	11
491	Lincle	TITANS RETURN	A	11
492	DistorteD	TYPE MARS(G-Style Mix)	A	11
493	DJ TROOPERS	Übertreffen	A	11
494	Rootage	UNDERWORLD HOLOGRAPHY	A	11
495	HEROIC VERSE	UNITE THE HEART	A	11
496	CANNON BALLERS	Usual Days-remix	A	11
497	tricoro	VEGA	A	11
498	Sparkle Shower	Vitamin	A	11
499	Sparkle Shower	voice of echo.	A	11
500	PENDUAL	Vulkan	A	11
501	EPOLIS	winkle 2 winkle	A	11
502	SPADA	Wonder Girl feat. Kanae Asaba	A	11
503	Rootage	Wonderland	A	11
504	BISTROVER	X-ray binary	A	11
505	8th style	xenon	A	11
506	Rootage	XENON II ～TOMOYUKIの野望～	A	11
507	HAPPY SKY	Xepher	A	11
508	SINOBUZ	Yellow Sketch(RX-Ver.S.P.L.)	A	11
509	EMPRESS	You'll say "Now!"	A	11
510	HEROIC VERSE	Ypsilon	A	11
511	Rootage	ZENDEGI DANCE	A	11
512	RESIDENT	ZEИITH	A	11
513	copula	ZEPHYRANTHES	A	11
514	7th style	ZERO-ONE	L	11
515	10th style	1st Samurai	A	11
516	EPOLIS	20XX	A	11
517	RESIDENT	3V0	A	11
518	tricoro	405nm (Ryu☆mix)	A	11
519	Lincle	532nm	A	11
520	RESIDENT	あるビー！ feat.ころねぽち	A	11
521	CANNON BALLERS	うさ☆かめ 大戦争！	A	11
522	CastHour	ウツシミウツシ	A	11
523	copula	麗 ～うらら～	A	11
524	Rootage	おーまい！らぶりー！すうぃーてぃ！だーりん！	A	11
525	Pinky Crush	覚悟せよ！エンタンメ～ン ～より身の切り売り自暴自棄版～	A	11
526	SINOBUZ	禍根	A	11
527	copula	か・し・ま・し☆PUMP UP！	A	11
528	tricoro	仮想空間の旅人たち	A	11
529	DistorteD	華蝶風雪	A	11
530	Pinky Crush	きみのせかい	A	11
531	Lincle	君のハートにロックオン	A	11
532	RESIDENT	響花水月	A	11
533	HEROIC VERSE	狂水一華	A	11
534	CastHour	《GRANDMASTER》	A	11
535	Sparkle Shower	月下繚乱	A	11
536	PENDUAL	#The_Relentless	A	11
537	EPOLIS	雫	A	11
538	SINOBUZ	忍恋花	A	11
