rank_by_wp,a_title,a_diff,actual_a,slope,intercept,r,n,predicted_b,weight_r2,w_times_pred,predicted_over_max
48,〆,ANOTHER,3712,0.967352,392.9719,0.9524,334,3983.7816,0.907062,3613.5350,True
49,残像ニ繋ガレタ追憶ノHIDEAWAY,ANOTHER,3568,1.147608,-169.4758,0.9594,420,3925.1900,0.920458,3612.9720,False
50,Get On Your Feet,ANOTHER,2743,1.483054,-112.0954,0.9556,135,3955.9207,0.913193,3612.5205,True
51,明鏡止水,ANOTHER,2820,1.432664,-49.2568,0.9513,193,3990.8556,0.904932,3611.4536,True
52,SOLID STATE SQUAD -RISEN RELIC REMIX-,ANOTHER,3223,1.079570,431.1577,0.9607,267,3910.6133,0.922942,3609.2705,False
53,dica dica,ANOTHER,3236,1.029383,726.3853,0.9431,316,4057.4698,0.889531,3609.2469,True
54,儚キ戀ノ幻想譚,ANOTHER,3560,0.920365,699.8942,0.9527,393,3976.3931,0.907616,3609.0387,True
55,月下繚乱,ANOTHER,2811,1.693331,-796.2547,0.9540,455,3963.6991,0.910131,3607.4855,True
56,#CMFLG,ANOTHER,3438,0.921404,793.8601,0.9541,326,3961.6479,0.910396,3606.6680,True
57,表裏一体！？怪盗いいんちょの悩み,ANOTHER,3597,0.949695,533.1466,0.9556,318,3949.2006,0.913157,3606.2405,False
58,FUZIN RIZIN,ANOTHER,3823,0.870967,637.3381,0.9534,319,3967.0435,0.908927,3605.7544,True
59,oratio,ANOTHER,2954,1.136158,591.3818,0.9557,297,3947.5913,0.913270,3605.2165,False
60,深淵に捧ぐレクイエム,ANOTHER,3054,1.002145,917.8547,0.9518,332,3978.4068,0.905926,3604.1438,True
61,Like+it!,ANOTHER,2382,1.843832,-439.8772,0.9548,194,3952.1299,0.911705,3603.1763,True
62,Drastic Dramatic,ANOTHER,3486,0.891338,807.2720,0.9593,357,3914.4746,0.920314,3602.5472,False
63,B.O.D.Y.,ANOTHER,3427,0.940518,760.3465,0.9510,335,3983.5006,0.904361,3602.5221,True
64,Aqvion,ANOTHER,3503,0.895359,799.5420,0.9566,380,3935.9838,0.915160,3602.0550,False
65,Konzert V,ANOTHER,3370,0.979260,701.6654,0.9484,325,4001.7716,0.899498,3599.5838,True
66,グッバイ宣言,LEGGENDARIA,3675,1.086323,-51.6970,0.9556,378,3940.5414,0.913195,3598.4841,False
67,Symmetry,ANOTHER,3290,1.035023,543.0945,0.9545,341,3948.3218,0.911136,3597.4566,False
68,めいさいアイドル☆あいむちゃん♪,ANOTHER,3359,0.973380,670.1468,0.9553,313,3939.7288,0.912685,3595.7315,False
69,Space Battleship S4TO,ANOTHER,3745,0.911728,495.5208,0.9588,441,3909.9436,0.919355,3594.6257,False
70,AA,ANOTHER,3632,0.888932,697.0523,0.9566,443,3925.6521,0.915021,3592.0531,False
71,FlyAway,ANOTHER,3250,0.969616,849.5938,0.9473,336,4000.8459,0.897346,3590.1425,True
72,Todestrieb,ANOTHER,3445,1.000776,485.4071,0.9554,417,3933.0815,0.912700,3589.7237,False
73,L.F.O,ANOTHER,3301,0.931278,864.6703,0.9546,346,3938.8194,0.911232,3589.1780,False
74,Dr. Chemical & Killing Machine,ANOTHER,3369,0.938289,768.8297,0.9556,368,3929.9257,0.913256,3589.0276,False
75,Flying Castle,ANOTHER,3689,0.827130,924.4280,0.9501,309,3975.7104,0.902658,3588.7087,True
76,EBONY & IVORY,ANOTHER,3001,0.904708,1214.1082,0.9556,285,3929.1369,0.913201,3588.0901,False
77,ALBA -黎明-,LEGGENDARIA,3928,0.783253,882.8285,0.9518,321,3959.4455,0.905950,3587.0598,True
78,Disco Killer Music Lover,ANOTHER,3067,1.141256,467.1906,0.9508,454,3967.4242,0.903996,3586.5343,True
79,Little Star,ANOTHER,3135,1.001488,770.2755,0.9575,300,3909.9403,0.916721,3584.3239,False
80,Pout,ANOTHER,2595,1.942294,-1151.2461,0.9600,175,3889.0078,0.921558,3583.9448,False
81,Snakey Kung-fu,ANOTHER,3461,1.026166,431.9580,0.9485,373,3983.5196,0.899667,3583.8427,True
82,reunion,ANOTHER,3244,1.066249,535.5054,0.9472,368,3994.4187,0.897209,3583.8265,True
83,Trill auf G,ANOTHER,3210,0.894143,1070.2640,0.9535,252,3940.4638,0.909092,3582.2454,False
84,華爛漫 -Flowers-,LEGGENDARIA,3179,0.976830,807.0681,0.9569,416,3912.4122,0.915597,3582.1931,False
85,EXTREME MACH COLLIDER,ANOTHER,2561,1.392801,346.6564,0.9567,109,3913.6201,0.915290,3582.0961,False
86,cinder,ANOTHER,3150,1.092616,543.2373,0.9479,266,3984.9780,0.898572,3580.7911,True
87,Feel The Beat,ANOTHER,3595,0.857363,888.5322,0.9494,301,3970.7527,0.901345,3579.0175,True
88,Battle Train -IIDX Edition-,ANOTHER,3277,1.207131,24.2802,0.9482,170,3980.0481,0.899139,3578.6157,True
89,ΕΛΠΙΣ,ANOTHER,3127,1.073500,568.3708,0.9547,361,3925.2062,0.911451,3577.6326,False
90,Fashion Fruit,ANOTHER,3045,1.378111,-247.5745,0.9515,428,3948.7725,0.905442,3575.3848,False
91,スパークリング☆彡ハイパーチューン！！,ANOTHER,3656,1.112083,-131.5195,0.9533,368,3934.2556,0.908755,3575.2764,False
92,M4K3 1T B0UNC3,ANOTHER,3048,1.226837,233.5662,0.9486,325,3972.9642,0.899773,3574.7668,True
93,Always We Trust In You,ANOTHER,3211,1.093865,487.4608,0.9454,323,3999.8614,0.893709,3574.7103,True
94,invoker,ANOTHER,3201,1.149844,265.2146,0.9517,289,3945.8664,0.905660,3573.6123,False
95,Countdown to Heaven or Hell,ANOTHER,3075,1.229505,157.5679,0.9525,440,3938.2964,0.907213,3572.8756,False
96,rommmo,ANOTHER,3469,0.942427,692.1885,0.9497,269,3961.4692,0.901882,3572.7781,True
97,GAIA,ANOTHER,3315,0.874964,1049.0715,0.9510,353,3949.5767,0.904434,3572.1332,False
98,神のシナリオ,ANOTHER,3264,1.192133,107.6966,0.9451,398,3998.8190,0.893274,3572.0397,True
99,Ghost Pulse,ANOTHER,2791,1.106891,838.6071,0.9536,327,3927.9410,0.909337,3571.8202,False
100,Bang Bang Dance,ANOTHER,2799,1.574226,-471.9443,0.9528,474,3934.3156,0.907837,3571.7161,False
101,Lethal Weapon,ANOTHER,3240,0.993405,762.6444,0.9471,343,3981.2751,0.896970,3571.0851,True
102,Meissa,ANOTHER,2819,1.123158,751.3646,0.9547,315,3917.5482,0.911474,3570.7417,False
