曲管理番号	バージョン	曲名	Diff	Lv
1788	RESIDENT	Xerulean	A	12
1789	Rootage	Xlø	A	12
1790	CANNON BALLERS	Xperanza	A	12
1791	tricoro	ZED	L	12
1792	copula	199024club -Re:BounceKiller-	A	12
1793	CastHour	2 Beasts Unchained	A	12
1794	copula	紫陽花 -AZISAI-	L	12
1795	tricoro	カジノファイヤーことみちゃん	L	12
1796	SINOBUZ	〆	A	12
1797	copula	灼熱 Pt.2 Long Train Running	A	12
1798	Resort Anthem	灼熱Beach Side Bunny	A	12
1799	Pinky Crush	灼熱 Lost Summer Dayz	A	12
1800	copula	真 地獄超特急 -HELL or HELL-	A	12
1801	BISTROVER	水鏡の異界	A	12
1802	CastHour	雪上断火	A	12
1803	EPOLIS	電光	A	12
1804	SPADA	廿	L	12
1805	BISTROVER	バッド・スイーツ、バッド・ドリーム	A	12
1806	SINOBUZ	焱影	A	12
1807	PENDUAL	表裏一体！？怪盗いいんちょの悩み♥	L	12
1855	DistorteD	Concertino in Blue	A	12
1856	tricoro	DAY DREAM	A	12
1857	SIRIUS	eRAseRmOToRpHAntOM	A	12
1858	Rootage	EVANESCENT	A	12
1859	PENDUAL	EBONY & IVORY	L	12
1860	GOLD	Fascination MAXX	A	12
1861	Sparkle Shower	fixer	A	12
1862	EPOLIS	Glitch N Ride	A	12
1863	DJ TROOPERS	ICARUS	A	12
1864	Pinky Crush	hora de verdad	A	12
1865	tricoro	JOMANDA	A	12
1866	EMPRESS	Marie Antoinette	L	12
1867	Resort Anthem	New Castle Legions	A	12
1868	DJ TROOPERS	PARANOiA ～HADES～	A	12
1869	copula	POSSESSION	A	12
1870	Rootage	ruin of opals	A	12
1871	Pinky Crush	SISYPHUS	A	12
1872	Lincle	TITANS RETURN	L	12
1873	GOLD	TRANOID	L	12
1874	RESIDENT	VØID	A	12
1875	EMPRESS	Y&Co. is dead or alive	A	12
1876	SPADA	ÆTHER	L	12
1877	tricoro	音楽	A	12
1878	HEROIC VERSE	華麗なる大犬円舞曲	A	12
1879	8th style	桜	A	12
1880	Lincle	聖人の塔	A	12
1881	CastHour	ピアノ独奏無言歌 "灰燼"	A	12
1882	BISTROVER	二人ノ廃城幽踊宴	A	12
1883	BISTROVER	魔法のかくれんぼ	A	12
1884	RESIDENT	恋愛＝精度×認識力	A	12
1885	EMPRESS	3y3s	A	12
1886	SIRIUS	Almagest	A	12
1887	RESIDENT	Beyond Evolution	A	12
1888	Rootage	Carmina	A	12
1889	PENDUAL	Chrono Diver -PENDULUMs-	A	12
1890	Resort Anthem	Dances with Snow Fairies	L	12
1891	HEROIC VERSE	Dans la nuit de l'éternité	A	12
1892	CANNON BALLERS	DEATH†ZIGOQ ～怒りの高速爆走野郎～	L	12
1893	Lincle	DIAVOLO	A	12
1894	tricoro	Elemental Creation	A	12
1895	CANNON BALLERS	EMERALDAS	A	12
1896	HEROIC VERSE	EROICA	A	12
1897	HEROIC VERSE	Everlasting Message	A	12
1898	SPADA	Feel The Beat	L	12
1899	DistorteD	Ganymede	L	12
1900	SINOBUZ	Go Ahead!!	A	12
1901	EMPRESS	Go Beyond!!	A	12
1902	SINOBUZ	GuNGNiR	L	12
1903	CastHour	hard-wired	A	12
1904	DJ TROOPERS	ICARUS	L	12
1905	tricoro	Illegal Function Call	L	12
1906	SPADA	KAISER PHOENIX	L	12
