title,artist,genre,bpm,sp_b_level,sp_n_level,sp_h_level,sp_a_level,sp_l_level,dp_n_level,dp_h_level,dp_a_level,dp_l_level,sp_b_notes,sp_n_notes,sp_h_notes,sp_a_notes,sp_l_notes,dp_n_notes,dp_h_notes,dp_a_notes,dp_l_notes
AA,D.J.Amuro,RENAISSANCE,154,-,5,10,12,-,5,9,12,-,-,642,1386,1834,-,659,997,1739,-
AGEHA,Ryu☆,HAPPY HARDCORE,180,3,5,8,9,11,5,7,8,11,305,537,888,948,1232,464,689,903,1460
ANDROMEDA,Sota Fujimori,PSYCHEDELIC GOA TRANCE,150,-,5,8,11,-,4,9,11,-,-,517,973,1446,-,512,1109,1568,-
awakening,AKIRA YAMAOKA,TRANCE,143,-,5,7,10,-,5,7,9,-,-,553,750,866,-,546,746,873,-
Be quiet,Ryu☆,HARD DANCE,150,-,5,9,11,12,6,8,11,12,-,559,894,1114,1463,558,861,1055,1614
BLOCKS,SPARKER,TRANCE,141,-,5,7,11,-,4,7,12,-,-,417,675,1000,-,417,746,1001,-
BREATH,SPARKER,ROCOCO TEK,160,-,6,7,10,-,5,8,10,-,-,469,663,875,-,455,700,930,-
Click Again,dj REMO-CON,CLICK HOUSE,137,-,5,6,11,-,4,6,10,-,-,462,737,1097,-,462,735,1039,-
Close my Eyes for Me,D-crew feat.DENNIS GUNN(DJ Yoshitaka SCRATCHING),AMERICA,132-145,-,5,8,9,-,5,8,11,-,-,529,755,948,-,521,751,1058,-
D.A.N.C.E.!,DJ Yoshitaka feat.星野奏子,J-POP,116,-,3,5,10,-,3,5,8,-,-,299,431,826,-,298,425,653,-
Don't be afraid myself,platoniX with ray.D,J-POP,165,-,5,9,10,-,6,9,10,-,-,566,960,1155,-,621,935,1094,-
earth scape,dj TAKA,PIANO BALLAD,45-94,-,2,5,7,-,2,6,-,-,-,230,530,644,-,230,507,-,-
FAKE TIME,dj REMO-CON,HARD ROCK,200,-,5,11,12,-,7,12,12,-,-,534,916,1231,-,534,879,1178,-
Fly Away To India,Baby Weapon feat.KAJIL,DANCE POP,133,-,3,6,7,-,4,6,-,-,-,344,562,712,-,344,562,-,-
GENOCIDE,dj Killer,DRUM'N'BASS,175,-,6,10,11,-,6,12,12,-,-,587,1103,1222,-,588,1211,1456,-
gigadelic,teranoid feat.MC Natsack,NUSTYLE GABBA,173,3,9,12,12,-,10,12,12,-,355,771,1116,1301,-,754,1110,1344,-
HORIZON,LIA,HAPPY HARDCORE,171,-,5,7,8,-,5,7,9,-,-,546,786,990,-,547,818,1027,-
KEY,colors,BEAT ROCK,212,-,6,8,11,-,5,8,11,-,-,573,950,1436,-,573,989,1400,-
NEBULA GRASPER,L.E.D.,PSYCHEDELIC TRANCE,152-153,-,6,9,10,-,7,9,11,-,-,691,1029,1241,-,724,1029,1155,-
Raspberry♡Heart(English version),jun feat. PAULA TERRY,COLORFUL HARDCORE,160,-,5,8,9,-,6,8,10,-,-,531,797,932,-,524,772,901,-
RED ZONE,Tatsh&NAOKI,SPEED RAVE,165,1,5,9,11,12,5,9,11,12,89,567,975,1184,1566,611,941,1232,1502
RESONATE 1794,KOHTA,HARD SONATA,160,-,5,10,11,-,4,11,-,-,-,469,745,951,-,469,744,-,-
Secret of Love,D.J.SWAN,DRUM'N'BASS,162,-,5,7,11,-,5,9,-,-,-,553,747,1019,-,496,767,-,-
SPEEDY CAT,Y&Co.,EUROBEAT,155,-,5,8,9,-,5,9,10,-,-,569,861,1028,-,566,884,978,-
Sphere,Tatsh feat. K.Nayuki,MEDIEVAL CHOIR,160,-,5,9,10,-,5,8,12,-,-,541,996,1111,-,522,897,1139,-
spiral galaxy,D.J.SETUP,PSYCHEDELIC TECHNO,154,-,5,9,11,12,5,9,10,12,-,545,1061,1310,1910,564,1038,1139,2070
The Hope of Tomorrow,Sota Fujimori,CYBORG TRANCE,144,-,5,8,10,-,6,9,10,-,-,536,874,992,-,535,855,989,-
ＵＬＴｉＭΛＴＥ,TЁЯRA,HYPER J-POP FIVE,180,-,5,7,9,-,4,7,-,-,-,480,744,1006,-,451,736,-,-
Wonder Bullfighter,Twin AmadeuS,NATURAL SOUND,126,-,5,7,11,-,5,8,10,-,-,489,747,1062,-,451,729,1086,-
大桟橋,ウッチーズ,JAPAN,84-168,-,3,6,9,-,3,6,-,-,-,247,574,937,-,247,574,-,-
太陽～T・A・I・Y・O～,NAOKI feat.星野奏子,CYBER J-EURO,155,-,4,8,9,-,4,8,-,-,-,419,725,880,-,419,725,-,-
ピアノ協奏曲第１番”蠍火”,virkato,DIRGE,165-188,-,5,11,12,-,5,10,12,-,-,422,1111,1414,-,473,1031,1730,-
Agnus Dei,あさき,GOTHIC METAL,70-168,-,5,9,10,-,5,8,11,-,-,466,850,1051,-,465,791,1051,-
alla turca con passione,Twin AmadeuS,NATURAL SOUND,140,-,5,8,10,-,4,8,10,-,-,409,829,1103,-,396,831,1057,-
Aurora,Ryu☆,TRANCE CORE,181,-,7,10,11,-,7,10,11,-,-,714,1100,1280,-,675,1043,1218,-
CaptivAte～浄化～,A/I,NOSTALISH REQUIEM,160,-,5,9,11,12,5,9,11,12,-,541,946,1243,1738,540,936,1235,1691
Catch Me,DJ Yoshitaka feat. ERi,ACID JAZZ,115,-,5,8,10,11,4,9,10,11,-,405,678,925,1106,403,685,922,1189
Don't let it go,ウッチーズ,J-POP REMIX,160,-,4,8,9,-,4,7,10,-,-,360,647,852,-,360,640,852,-
double thrash,414,BATTLE2005,166,-,6,10,10,-,5,10,-,-,-,527,1066,1206,-,527,1048,-,-
EDEN,TЁЯRA,HYPER J-POP SIX,200,-,6,9,10,11,7,8,10,11,-,660,969,1363,1637,640,733,1377,1647
EMPTY OF THE SKY,AKIRA YAMAOKA,E-ROCK,182,-,3,5,8,-,3,5,8,-,-,334,526,843,-,334,526,842,-
First Resolution,good-cool,TECHNO RAVE,150,-,5,7,9,-,5,8,10,-,-,421,808,1077,-,421,819,1077,-
garden,青野りえ,SWING WALTZ,220,-,4,7,10,12,4,7,12,12,-,440,773,1100,1583,461,774,1396,1756
Get'em up to R.A.V.E,Disconation,RAVE,145,-,5,8,10,-,5,8,-,-,-,599,892,1158,-,595,890,-,-
GREEN EYES,SLAKE,BROKEN TEK,170,-,6,8,10,-,6,9,11,-,-,507,827,1123,-,494,828,1123,-
HAPPY☆ANGEL,jun with TAHIRIH,HAPPY HARDCORE,180,3,5,7,10,-,6,7,10,-,332,555,782,1052,-,555,776,1073,-
I am,有沢みはる from BeForU,CYBER J-ROCK,190,-,5,8,10,-,5,8,-,-,-,555,883,1096,-,611,883,-,-
in motion,Ryu☆,CLICK HOUSE,138,-,5,6,7,-,5,6,8,-,-,432,545,661,-,432,545,661,-
INAZUMA,dj TAKA,TRANCE,148,-,5,9,11,12,6,9,12,12,-,561,930,1368,2042,584,917,1554,1902
LESSON 5,Risk Junk feat.Erika Mochizuki,HAPPY EXTREME,152,-,5,8,9,-,5,7,11,-,-,654,949,1261,-,542,939,1471,-
Little Little Princess,SHRINE 418,PUNK OPERA,※,-,5,10,11,12,5,10,11,12,-,558,1118,1420,1946,560,1171,1610,2035
Love Magic,D.J.SWAN,DRUM'N'BASS,170,-,5,8,10,-,4,8,-,-,-,515,895,991,-,515,895,-,-
mind the gap,Osamu Kubota,UK PROGRESSIVE,98-147,-,5,7,9,-,6,8,9,-,-,395,550,840,-,378,564,856,-
MOON RACE,ELEKTEL,FUTURE HOUSE,147,-,5,7,9,-,5,10,-,-,-,434,598,957,-,433,598,-,-
Pink Rose,Kiyommy＋Seiya,HEART,116-146,-,3,5,8,10,3,5,8,10,-,297,486,708,1012,297,486,770,1074
PLASMA,Sota Fujimori,SYNTHESIZED TECHNO,148,-,4,8,9,-,5,8,-,-,-,479,848,1145,-,479,848,-,-
Pollinosis,dj REMO-CON,HARD DANCE,145,-,4,6,11,-,4,8,9,-,-,405,590,1278,-,464,644,829,-
POODLE,Y&Co.,EUROBEAT,160,-,5,8,10,11,5,8,11,12,-,492,956,1156,1707,493,880,1438,1796
rage against usual,dj TAKA feat.Gt.Shintaro,DIGI-ROCK,152,-,7,10,12,-,6,10,11,12,-,697,1060,1527,-,697,1081,1215,1664
SCREAM SQUAD,CALF,BREAKCORE,220,-,7,10,12,-,6,10,12,-,-,609,869,1073,-,579,863,1072,-
Scripted Connection⇒ A mix,DJ MURASAME,TECHNO,151,-,7,10,12,12,8,10,11,12,-,865,1155,1575,1749,1079,1269,1382,1816
Scripted Connection⇒ H mix,DJ MURASAME,TECHNO,151,-,7,10,11,12,8,10,11,12,-,875,1059,1275,1466,879,1005,1366,1526
Scripted Connection⇒ N mix,DJ MURASAME,TECHNO,151,-,6,8,10,11,6,9,10,11,-,674,858,1073,1247,661,909,1179,1349
SigSig,kors k,MAKINA,179,3,5,7,10,-,5,7,11,-,338,548,864,1309,-,552,884,1259,-
Tizona d'El Cid,TOMOSUKE,MPB,265,-,5,9,10,-,5,10,-,-,-,495,1000,1178,-,491,1000,-,-
Twelfth Style,Tatsh&DAYBREAKERS NEXT,HAPPY EURO PARADISE,160,-,6,7,10,12,6,9,9,12,-,630,778,1033,1684,707,976,1070,1748
Under the Sky,南さやか(BeForU) with platoniX,J-EUROTRANCE,170,-,5,7,9,-,4,7,9,-,-,458,710,875,-,390,670,830,-
vault of heaven,Mr.T,ELECTROSHOCK,160,-,4,8,10,-,4,7,9,-,-,401,728,1010,-,401,728,1020,-
Votum stellarum,iconoclasm,ANTHEM TRANCE,136-147,-,4,9,10,-,4,11,-,-,-,413,857,1017,-,413,965,-,-
We are Disっ娘よっつ打ち命,DANCE☆MAN feat. Disっ娘,DISCO,129,-,3,5,9,-,3,5,9,-,-,336,490,837,-,336,490,873,-
Xepher,Tatsh,MEDIEVAL CHOIR,170,3,5,10,11,-,5,10,11,-,205,571,1135,1520,-,559,1089,1498,-
100% minimoo-G,Sota Fujimori,SYNTHETIC PROGRESSIVE ROCK,252,-,5,10,11,-,4,10,11,-,-,474,871,903,-,474,871,1414,-
オレはビートマニア！お前は何マニア？,DANCE☆MAN,FUNK,123,-,7,8,10,-,5,7,9,-,-,414,763,873,-,414,752,789,-
合体せよ！ストロングイェーガー！！ (Ryu☆ remix),L.E.D./Remixed by Ryu☆,HARD DANCE,155,-,5,8,11,-,5,9,11,-,-,564,807,972,-,556,784,935,-
月光,Tatsh feat. 星野奏子,J-EUROBEAT,155,-,5,8,10,-,4,9,10,-,-,455,900,1246,-,440,922,1175,-
ヒマワリ,小坂りゆ,J-HAPPY HARDCORE,185,-,3,9,10,-,4,8,9,-,-,285,947,1042,-,396,856,943,-
冥,Amuro vs Killer,HUMAN SEQUENCER,66-200,3,5,10,12,-,5,11,12,-,302,555,1111,2000,-,555,1104,2000,-
ラクエン,Chonan Chiharu,REGGAE,99-198,-,4,6,11,-,4,9,11,-,-,369,498,1034,-,368,723,1033,-
ALFARSHEAR 双神威に廻る夢,TЁЯRA,HYPER J-POP SEVEN,170,2,5,7,10,-,6,9,10,-,222,548,838,1049,-,548,838,1043,-
Apocalypse ～dirge of swans～,Zektbach,ORATORIO,170,1,5,9,10,-,5,8,11,-,121,510,921,1214,-,480,981,1270,-
BALLAD THE FEATHERS,S.S.D.FANTASICA feat.Naomi Koizumi,CELTIC REEL,132,-,4,6,8,-,5,8,-,-,-,367,554,764,-,357,560,-,-
Bloody Tears(IIDX EDITION),DJ YOSHITAKA,HARD RENAISSANCE,170,-,5,9,10,-,5,10,11,-,-,574,1012,1094,-,574,1009,1280,-
BOOM BOOM DISCO NIGHT,Y&Co.,EUROBEAT,155,-,5,8,10,-,5,9,10,-,-,520,938,1151,-,520,927,1148,-
Broadbanded,SADA,TRANCE,140,-,5,8,11,-,4,10,11,-,-,454,726,1019,-,436,727,899,-
Concertino in Blue,佐々木博史,PROGRESSIVE,103-155,2,5,10,12,-,5,10,12,-,198,460,915,1311,-,486,972,1425,-
CONTRACT,朱雀,SUBLIME TECHNO,180,-,9,10,11,12,7,10,12,12,-,648,863,1056,1418,607,856,1050,1545
D.C.fish,DJ MURASAME,TECHNO,155,-,5,9,11,-,5,8,11,-,-,513,998,1178,-,505,888,1228,-
DEEP ROAR,NAOKI&Tatsh,SUPER RAVE BEAT,165,-,5,7,11,-,5,7,11,-,-,503,726,1387,-,500,720,1378,-
Double♡♡Loving Heart,Tatsh feat. Junko Hirata ＆ Sayaka Minami,J-POP,138,-,3,6,9,-,4,7,10,-,-,292,671,909,-,393,730,1127,-
DUE TOMORROW,Mr.T,TECHNO,100-400,-,6,9,12,-,6,10,12,-,-,470,791,1073,-,470,791,1543,-
EURO-ROMANCE,K-MASERA,80's TECHNO,161,-,5,8,10,-,5,8,11,-,-,497,933,1056,-,494,893,1363,-
Ganymede,玄武,ESOTERIC SLOWCORE,72-82,-,6,10,11,12,8,11,12,12,-,571,884,1199,1356,612,951,1363,1391
Harmony and Lovely,Ryu☆,PROGRESSIVE HOUSE,135,-,4,8,11,-,5,9,11,-,-,457,902,1127,-,457,896,1122,-
Heavenly Sun (IIDX VERSION),AKIRA YAMAOKA,TRANCE,130,-,4,7,10,-,4,8,10,-,-,421,806,1060,-,421,805,1060,-
INFERNO,Caldeira feat.星野奏子,BRAZILIAN HOUSE,135,-,5,7,9,-,5,7,10,-,-,601,828,1008,-,600,856,1175,-
Leaving...,SEIYA MURAI meets “eimy”,SYMPHONIC EURO,145,-,4,8,10,-,4,7,10,-,-,396,714,1116,-,386,714,1024,-
MINT,SLAKE,ELECTRONICA,150,-,6,10,11,-,5,10,12,-,-,524,917,1158,-,517,906,1163,-
MOON,dj TAKA feat.Erika Mochizuki,哀愁ユーロ,156,-,5,9,10,-,5,10,-,-,-,436,1067,1118,-,436,1048,-,-
Power of Love,kors k feat.PSY,2 STEP,135,-,5,7,10,-,4,8,10,-,-,513,848,1077,-,512,861,1065,-
So Fabulous !!,HHH (Ryu☆ & Dai),BUCHIAGE TRANCE,149,-,5,8,10,-,5,9,11,-,-,556,784,1191,-,548,853,1214,-
Sun Field,mh sequence,HAPPY POP,152,-,3,8,11,-,5,9,11,-,-,287,777,1234,-,449,856,1158,-
The Dirty of Loudness,Tatsh Assault X,SADISTIC HARDCORE,165,-,7,10,11,-,7,10,10,-,-,740,1154,1327,-,723,1122,1189,-
This is Love,D-crew feat.MAKOTO,CORE POP,175,-,4,8,10,-,5,8,-,-,-,473,910,1249,-,489,906,-,-
tripping contact(teranoid&MC Natsack Remix),kors k vs teranoid,GABBA,187,-,6,10,11,-,7,10,12,-,-,646,1020,1258,-,653,968,1367,-
TYPE MARS(G-Style Mix),L.E.D.,PSYCHEDELIC TRANCE,159,-,5,9,11,-,6,10,-,-,-,571,974,1237,-,576,990,-,-
waxing and wanding,青龍,DANCE SPEED,191,-,7,10,11,12,7,10,11,12,-,658,997,1457,2000,647,966,1399,2000
Why did you go away,jun with TAHIRIH,LOVERS EUROBEAT,160,3,5,8,10,-,5,9,11,-,322,559,904,1166,-,552,901,1165,-
WISH(EUROBEAT MIX),DJ YOSHITAKA feat.杉村ことみ,EUROBEAT,155,-,5,8,9,-,5,8,9,-,-,532,824,990,-,532,793,988,-
with you…,Sota Fujimori,FUNK'N JAZZ HOUSE,135,-,4,6,9,-,4,7,11,-,-,398,580,891,-,398,580,1324,-
Zenius -I- vanisher,Tatsh,CYBER OPUS,160,-,5,7,10,-,5,8,11,-,-,493,790,1209,-,492,776,1207,-
カゴノトリ～弐式～,橙色特別室,和式電子音楽,140,-,6,9,12,-,6,9,12,-,-,581,944,1325,-,581,978,1586,-
華蝶風雪,白虎,ASIAN MIXTURE,199,-,6,10,11,12,7,10,12,12,-,638,1064,1500,2014,626,1041,1481,2135
タシカナモノ,星野奏子 with the BAND,POPROCK,180,-,5,7,9,-,5,7,10,-,-,472,726,1026,-,470,797,1191,-
嘆きの樹,金獅子,CONTEMPORARY,160,-,8,11,12,-,7,11,12,-,-,902,1281,2000,-,875,1281,2000,-
虹色,DJ YOSHITAKA feat. G.S.C license,LOVELY TRANS POP,160,-,5,8,9,-,5,7,8,-,-,488,792,934,-,488,793,934,-
罠,good-cool,DRUM'N'ROCK,180,-,3,8,10,-,4,7,-,-,-,283,777,1231,-,374,730,-,-
Air Bell,D-crew,FLOW POP,171,-,5,6,8,-,5,7,8,-,-,499,687,868,-,455,642,794,-
ANDROMEDA II,Sota Fujimori,PSYCHEDELIC SYNTH TRANCE,152,-,5,9,10,-,5,10,-,-,-,501,982,1255,-,534,1084,-,-
"Blind Justice ～Torn souls, Hurt Faiths ～",Zektbach,EPIC POETRY,137-165,-,6,8,11,-,7,8,10,-,-,679,1001,1245,-,618,950,1134,-
Candy Galy,Risk Junk-G,HAPPY,184,-,7,10,12,-,6,8,12,12,-,800,1308,1798,-,642,863,1348,1872
CaptivAte～誓い～,A/I,NOSTALISH REQUIEM,160,-,6,9,10,-,6,9,11,-,-,677,1017,1127,-,710,1078,1319,-
CaptivAte～裁き～,DJ YOSHITAKA feat.A/I,NOSTALISH REQUIEM,180,3,6,8,9,-,5,9,11,-,214,435,663,897,-,422,822,1110,-
CROSSROAD ～Left Story～,jun with TAHIRIH,DRAMATIC EURO TRANCE,170,-,5,8,10,-,6,8,10,-,-,574,883,1097,-,575,857,1047,-
Cyber Force,Sota Fujimori feat.cyborg AKEMI,CYBORG TRANCE,146,-,5,9,10,-,6,8,8,-,-,637,980,1200,-,610,929,1081,-
Fascination MAXX,100-200-400,SuperNOVA BEAT,100-400,-,9,11,12,-,9,10,12,-,-,508,876,1313,-,475,825,1167,-
FIRE FIRE,StripE,BUCHIAGE TRANCE,150,3,7,10,12,-,7,9,11,-,287,616,927,1405,-,616,962,1162,-
four-leaf,Sis Bond Chit,ROCK,157,-,4,6,8,-,4,8,-,-,-,386,642,867,-,386,642,-,-
GOLD RUSH,DJ YOSHITAKA-G feat.Michael a la mode,RECKLESS RAVE,162,3,7,9,11,-,6,8,10,-,282,608,764,1199,-,601,851,1186,-
GRID KNIGHT,SAW WAVE SQUAD,ELECTRONICA,160,-,6,8,10,12,7,8,10,12,-,423,1012,1328,1744,813,1056,1396,1855
heaven above,kors k,FILTER HOUSE,132,-,5,7,9,-,5,7,9,-,-,418,711,928,-,419,706,921,-
High School Love,DJ YOSHITAKA feat.DWP,HIGH SPEED LOVE SONG,180,2,4,6,9,-,5,7,9,-,204,438,788,1106,-,439,771,1123,-
INORI,dj TAKA feat.HAL,MILLENNIUM TRANCE,146,-,6,10,11,-,6,9,12,-,-,701,1330,1614,-,699,1241,1730,-
KAMAITACHI,DJ TECHNORCH fw. GUHROOVY,FREEFORM HARDCORE,165,-,6,9,11,12,8,10,12,12,-,647,1039,1368,2000,1005,1335,1662,2000
LASER CRUSTER,L.E.D.,NU-SKOOL BREAKS,152,-,7,11,12,-,7,11,12,-,-,732,1250,1644,-,696,1254,1721,-
Love Again...,Tatsh feat. Junko Hirata,POPS,110,-,3,4,5,-,4,5,-,-,-,293,400,538,-,396,533,-,-
Make Me Your Own,good-cool ft. Raj Ramayya,HOUSE,130,-,5,9,10,-,4,9,11,-,-,451,836,1086,-,451,836,1115,-
METALLIC MIND,DJ TECHNORCH fw. GUHROOVY,OLDSKOOL HARDCORE RAVE,150,-,4,8,9,-,5,7,-,-,-,451,735,832,-,451,736,-,-
never…,Kanako Hoshino with dj TAKA,DANCE POP,130,-,4,7,8,-,4,6,-,-,-,414,691,915,-,413,690,-,-
op.31 叙情,akiko,PIANO CONCERTO,100-350,-,4,9,10,-,6,11,12,-,-,319,699,836,-,334,714,858,-
PHOTONGENIC,L.E.D. fw.堀澤麻衣子,DRUM & BASS,176,-,7,10,10,-,7,9,11,-,-,701,1002,1162,-,747,1086,1409,-
Roulette,Y&Co.,EUROBEAT,160,-,5,8,10,-,5,8,10,-,-,458,741,1073,-,459,753,1075,-
Second Heaven,Ryu☆,HANDZ UP,149,1,5,8,11,-,6,8,11,-,112,500,787,1069,-,500,704,1069,-
Sense 2007,good-cool,RAVE,140,-,9,11,12,-,9,12,12,-,-,788,1179,1517,-,792,1179,1474,-
smile,miru_maki.gjw,ELE POP,189,-,7,9,11,-,7,9,12,-,-,744,1107,1464,-,766,1145,1628,-
snow storm,dj TAKA,TRANCE,145,1,4,9,10,12,4,10,12,-,118,403,1173,1409,1709,407,1173,1750,-
the shadow,kors k,SCHRANZ,156,-,6,9,11,-,5,9,11,-,-,618,1084,1480,-,616,1090,1394,-
The Smile of You,猫叉Master feat.JESSY,POP,136,-,4,7,8,-,4,6,7,-,-,472,658,815,-,523,697,904,-
TRANOID,T&S seq. factory,PSG WORKS,130-190,-,5,10,11,12,6,10,12,12,-,414,929,1141,1546,449,947,1141,1563
VANESSA,朱雀,DECEPTIVE GABBA,185,-,8,11,12,12,7,11,12,12,-,591,938,1228,1771,588,938,1297,1633
Watch out!!,MAD Sequence*,HIP HOP,121,-,4,6,9,-,4,6,-,-,-,377,544,837,-,377,544,-,-
With your Smile,Shoichiro Hirata plus Junko Hirata,J-HOUSE,135,-,4,6,8,-,4,7,8,-,-,366,597,788,-,362,616,786,-
2hot2eat,Osamu Kubota,HINDU SALSA,140-155,-,4,7,9,-,4,9,10,-,-,307,612,854,-,311,635,904,-
クルクル☆ラブ～Opioid Peptide MIX～,イオンチャンネル,FUTURE POP,185,2,5,8,10,-,5,8,10,-,216,500,766,1144,-,538,816,1182,-
零 - ZERO -,TЁЯRA,HYPER J-POP ZERO,180,1,6,8,9,-,6,8,10,-,110,596,912,1162,-,601,909,1154,-
電人、暁に斃れる。,L.E.D.-G,NU-NRG,165,3,7,10,12,-,7,10,12,-,335,785,1255,1725,-,775,1207,1732,-
花吹雪 ～ IIDX LIMITED ～,S.S.D.FANTASICA feat.ユッコ,JAPANESE ALTERATION,150,-,4,6,8,-,5,7,8,-,-,367,573,719,-,493,615,838,-
星をこの手に,DJ YOSHITAKA feat.星野奏子,J-POP,165,-,7,9,10,-,6,9,10,-,-,614,933,1099,-,609,962,1267,-
ヨシダさん,AKIRA YAMAOKA,TECHNO,150,-,5,7,9,-,5,6,8,-,-,470,728,987,-,523,739,1003,-
リグレット,星野奏子,EURO TRANCE,155,-,6,8,10,-,6,8,-,-,-,666,887,1223,-,661,888,-,-
"Anisakis -somatic mutation type""Forza""-",朱雀,HARD RENAISSANCE,185,-,6,10,11,12,6,10,12,12,-,631,1089,1443,1971,637,1291,1603,1956
avant-guerre,Osamu Kubota,CLASSICAL PIANO SOLO,130-146,-,4,7,10,-,5,9,10,-,-,390,694,982,-,390,694,982,-
Be OK,good-cool ft. Florence,EUROBEAT,160,-,5,8,10,11,6,9,12,-,-,479,902,1215,1679,492,1063,1717,-
beatonic nation,Sota Fujimori,TECH-TRONIKA,165,-,5,8,9,-,5,7,10,-,-,640,955,1093,-,664,999,1259,-
Blue Rain,dj TAKA VS Ryu☆,TRANCE,144,2,6,8,11,12,6,7,10,12,174,514,812,1149,1702,587,803,1037,1662
Darling my LUV,DJ Yoshitaka feat.B-Agents,J-R&B,100,-,4,6,8,-,5,7,-,-,-,354,512,695,-,345,576,-,-
Dazzlin' Darlin,HHH,HANDZ UP,149,2,4,7,10,-,5,7,11,-,172,455,704,1115,-,433,696,1052,-
Digitank System,DJ Mass MAD Izm*,TECH-BREAKBEATS,128,-,6,9,11,-,5,8,10,-,-,480,815,1096,-,482,813,1175,-
Do it!! Do it!!,Kraken,N-BEATS,300,-,8,10,11,12,5,10,12,12,-,538,816,987,1317,435,736,982,1312
end of world,猫叉Master+,FRENZY HOUSE,162,-,6,9,10,-,5,10,11,-,-,523,924,1268,-,523,924,1357,-
evergreen,kors k,PROG,133,-,5,7,10,-,5,8,11,-,-,507,720,997,-,519,740,1037,-
four pieces of heaven,Lion,JUNGLE,125-195,-,5,10,11,12,6,10,12,12,-,481,988,1225,1518,481,965,1264,1560
Freeway Shuffle,dj TAKA,TRANCE,145,2,4,7,10,-,5,8,9,-,173,411,650,949,-,416,669,916,-
ICARUS,Eagle,NU-SKOOL BREAKBEATS HARDCORE,126-251,-,7,10,12,12,7,10,12,12,-,694,1097,1301,2000,687,1038,1336,2000
in the Sky,Ryu☆,HAPPY HARDCORE,180,-,7,9,11,-,7,10,11,-,-,697,1079,1279,-,681,1040,1241,-
Kick Out 仮面,"上野圭市(aka. Babyweapon,DJ SWAMI)feat.星野奏子",E-DANCE POP,160,-,5,7,9,-,5,7,10,-,-,596,800,1022,-,599,842,1356,-
LOVELY STORM,L.E.D.-G,HAPPY HARDCORE,178,-,6,9,10,-,7,10,11,-,-,679,1105,1429,-,733,1249,1418,-
madrugada,PINK PONG,PROGRESSIVE HOUSE,125,-,4,7,10,-,3,7,10,-,-,363,631,945,-,319,623,942,-
MAX LOVE,DJ YOSHITAKA feat.星野奏子,LOVELY BUCHIAGE POP,180,-,5,8,10,-,7,9,10,-,-,730,1100,1348,-,752,1130,1572,-
MENDES,Humanoid,IRREGULAR HI-BREAK,168,-,6,11,12,-,6,10,12,-,-,573,1353,1831,-,569,1231,1922,-
MENTAL MELTDOWN,GUHROOVY fw.TECHNORCH,HARD HOP,145,-,6,10,11,-,6,9,11,-,-,609,1176,1443,-,607,1024,1335,-
NEW GENERATION -もう、お前しか見えない-,SUPER STAR 満-MITSURU-,ONLY ONE EURO BEAT,165,-,5,9,10,12,6,9,11,12,-,541,1011,1342,1895,556,969,1278,1834
oratio,蓑舞衆,HYMNUS,162,-,7,10,12,-,7,9,12,-,-,747,1056,1493,-,706,1061,1406,-
PARANOiA ～HADES～,αTYPE-300,SUPERNOVA2 BEAT #1,75-300,-,7,11,12,-,8,11,12,-,-,558,954,1395,-,600,989,1532,-
PROMISE FOR LIFE,TЁЯRA WORKS,BALLAD,70,-,3,7,8,-,4,6,8,-,-,305,753,875,-,286,570,746,-
REMINISCENCE,jun with Alison,TRI EURO FANTASIA,171,-,6,9,10,-,6,9,11,-,-,643,939,1183,-,643,946,1183,-
Rising in the Sun(original mix),kors k feat.Rie,UK HARDCORE,172,-,5,9,11,-,5,9,11,-,-,477,864,1202,-,477,839,1187,-
Ristaccia,Zektbach,OUVERTÜRE,160,-,6,9,12,-,5,8,10,11,-,609,1032,1386,-,400,936,1174,1265
"satellite020712 from ""CODED ARMS""",猫叉Master,HARD HOUSE,154,-,6,9,11,-,8,10,12,-,-,680,983,1293,-,831,1199,1656,-
satfinal,RAM,RAVE,180,-,5,7,9,-,6,8,10,-,-,548,722,963,-,545,805,1016,-
scar in the earth,猫叉Master,WORLD/ELECTRONICA,141,-,4,5,8,-,4,7,9,-,-,335,565,766,-,383,592,831,-
SOUND OF GIALLARHORN,L.E.D.-G,FREEFORM HARDCORE,184,2,6,10,11,-,6,9,10,-,257,708,1405,1668,-,704,1227,1599,-
State Of The Art,Sota Fujimori feat. cyborg AKEMI,TECHNOTRONICA,155,-,5,8,11,-,6,8,12,-,-,552,790,1570,-,541,806,1756,-
STEEL NEEDLE,Scorpion,BREAK CORE,205,-,6,10,11,12,6,10,11,12,-,560,1121,1269,1701,575,1103,1367,1676
switch,DAISUKE ASAKURA ex.TЁЯRA,ULTIMATE J-POP,152,-,5,9,11,-,5,9,11,-,-,407,790,1069,-,407,790,1069,-
THE DEEP STRIKER,L.E.D.-G,NU STYLE GABBA,173,2,6,10,11,12,5,10,11,12,274,556,1150,1528,1778,622,1133,1451,1728
the trigger of innocence,Seiya Murai,ETHNOTRONICA,150,-,5,7,9,11,6,9,10,12,-,451,592,924,1558,597,1019,1527,2032
Time to Air,青龍,DANCE SPEED,191,-,6,10,11,12,7,9,11,12,-,640,1064,1458,1888,634,985,1325,1864
TRIP MACHINE PhoeniX,DE-SIRE 改,SUPERNOVA2 BEAT #2,80-160,-,6,9,10,-,6,9,11,-,-,353,842,935,-,333,762,929,-
